,sqft,url,price,locality,postalCode,Type,Year built,Heating,Cooling,Parking,Price/sqft,beds,baths,timeOnZillow,views,saves,zestimate,rentalZestimate,ele_rating,ele_dist,mid_rating,mid_dist,high_rating,high_dist,original_city
27,1104,https://www.zillow.com/homedetails/4678-Smoke-River-Ct-San-Jose-CA-95136/19701873_zpid/,699000.0,San Jose,95136,Townhouse,1973,Forced air,Central,0,633,3,2.0,3.0,1199,76,728958,2950,3,0.6,5,1.2,4,0.6,san-jose-ca
28,1217,https://www.zillow.com/homedetails/5601-Makati-Cir-San-Jose-CA-95123/19829665_zpid/,698000.0,San Jose,95123,Townhouse,1985,Forced air,Central,0,574,2,2.0,3.0,832,67,726137,3050,4,0.3,6,1.7,6,0.8,san-jose-ca
29,2001,https://www.zillow.com/homedetails/1566-Lupton-Ave-San-Jose-CA-95125/19681633_zpid/,1998000.0,San Jose,95125,Single Family,2012,"Forced air, Gas",Central,0,999,3,3.0,2.0,772,42,2094741,5200,5,0.4,5,0.6,7,0.5,san-jose-ca
30,776,https://www.zillow.com/homedetails/1129-Cook-St-San-Jose-CA-95126/19558054_zpid/,799000.0,San Jose,95126,Single Family,1924,"Forced air, Gas",None,0,1030,2,1.0,2.0,1054,81,814490,3200,4,1.0,3,0.9,6,1.1,san-jose-ca
31,1296,https://www.zillow.com/homedetails/1200-Weepinggate-Ln-San-Jose-CA-95136/19818084_zpid/,699000.0,San Jose,95136,Townhouse,1971,Forced air,Central,0,539,3,2.0,3.0,947,63,730000,2995,4,0.2,4,1.2,6,0.8,san-jose-ca
32,1056,https://www.zillow.com/homedetails/199-N-11th-St-San-Jose-CA-95112/19710373_zpid/,1038000.0,San Jose,95112,Single Family,1906,"Forced air, Gas",Central,0,983,3,2.0,2.0,333,12,1052418,3400,3,0.3,3,1.3,3,0.8,san-jose-ca
33,1037,https://www.zillow.com/homedetails/5651-Blossom-Ave-San-Jose-CA-95123/19818807_zpid/,825000.0,San Jose,95123,Single Family,1963,"Forced air, Electric, Gas",None,0,796,3,2.0,1.0,770,56,894540,3450,6,0.2,8,0.6,9,1.2,san-jose-ca
34,1088,https://www.zillow.com/homedetails/1469-Hillsdale-Ave-San-Jose-CA-95118/19696158_zpid/,939000.0,San Jose,95118,Single Family,1957,"Forced air, Gas",Central,0,863,3,1.0,2.0,342,17,961867,3500,5,0.6,5,1.1,7,1.2,san-jose-ca
35,2178,https://www.zillow.com/homedetails/285-William-Manly-St-San-Jose-CA-95136/166730716_zpid/,1155000.0,San Jose,95136,Single Family,2017,"Forced air, Gas",Central,0,530,5,4.0,2.0,609,26,1191573,4150,6,1.9,5,1.5,7,1.2,san-jose-ca
36,1404,https://www.zillow.com/homedetails/1258-Naglee-Ave-San-Jose-CA-95126/19575317_zpid/,1065000.0,San Jose,95126,Single Family,1925,None,None,0,759,3,2.0,3.0,1066,58,1125417,3500,4,0.4,3,0.2,6,0.4,san-jose-ca
37,3398,https://www.zillow.com/homedetails/951-Riverside-Dr-San-Jose-CA-95125/19578434_zpid/,2795000.0,San Jose,95125,Single Family,1928,"Forced air, Gas",Central,0,823,4,4.0,3.0,868,43,2746698,6082,5,0.8,5,1.6,7,1.5,san-jose-ca
38,2052,https://www.zillow.com/homedetails/1837-Curtner-Ave-San-Jose-CA-95124/19689592_zpid/,1295000.0,San Jose,95124,Single Family,1965,"Forced air, Gas",Central,0,631,4,3.0,2.0,872,66,1446977,4400,7,0.2,8,0.5,8,1.9,san-jose-ca
39,2041,https://www.zillow.com/homedetails/237-Rayos-Del-Sol-Dr-San-Jose-CA-95116/79843095_zpid/,899000.0,San Jose,95116,Single Family,2006,"Forced air, Gas",Central,0,440,4,3.0,27.0,5091,281,938086,4000,3,0.5,3,1.4,6,1.6,san-jose-ca
40,3368,https://www.zillow.com/homedetails/2255-Mazzaglia-Ave-San-Jose-CA-95125/19687248_zpid/,2895000.0,San Jose,95125,Single Family,2020,"Forced air, Electric, Gas",Central,0,860,5,5.0,1.0,473,22,1377162,3300,8,1.0,5,0.3,7,0.4,san-jose-ca
41,1362,https://www.zillow.com/homedetails/1-E-Julian-St-UNIT-307-San-Jose-CA-95112/89462789_zpid/,849500.0,San Jose,95112,Condo,2008,"Forced air, Gas",Central,0,624,3,3.0,1.0,272,10,850894,3400,2,0.7,3,0.9,3,1.5,san-jose-ca
42,1291,https://www.zillow.com/homedetails/1043-Esparanza-Way-San-Jose-CA-95138/19811584_zpid/,699000.0,San Jose,95138,Condo,1999,"Forced air, Gas",Central,0,541,2,3.0,1.0,177,5,737489,3100,7,0.1,6,2.0,6,3.6,san-jose-ca
43,877,https://www.zillow.com/homedetails/122-Monte-Verano-Ct-San-Jose-CA-95116/69300748_zpid/,459000.0,San Jose,95116,Condo,1988,Radiant,Wall,0,523,2,1.0,1.0,390,13,458232,2300,3,0.5,4,0.8,4,0.7,san-jose-ca
44,1456,https://www.zillow.com/homedetails/110-S-Sunset-Ave-San-Jose-CA-95116/19718719_zpid/,839000.0,San Jose,95116,Single Family,1920,"Forced air, Gas",Other,0,576,4,3.0,5.0,1999,81,827693,2600,5,0.3,3,0.3,6,1.1,san-jose-ca
45,2052,https://www.zillow.com/homedetails/1837-Curtner-Ave-San-Jose-CA-95124/19689592_zpid/,1295000.0,San Jose,95124,Single Family,1965,"Forced air, Gas",Central,0,631,4,3.0,2.0,872,66,1446977,4400,7,0.2,8,0.5,8,1.9,san-jose-ca
46,3398,https://www.zillow.com/homedetails/951-Riverside-Dr-San-Jose-CA-95125/19578434_zpid/,2795000.0,San Jose,95125,Single Family,1928,"Forced air, Gas",Central,0,823,4,4.0,3.0,868,43,2746698,6082,5,0.8,5,1.6,7,1.5,san-jose-ca
47,2401,https://www.zillow.com/homedetails/1107-Nevada-Ave-San-Jose-CA-95125/19681497_zpid/,2549000.0,San Jose,95125,Single Family,2016,"Forced air, Gas",Central,0,1062,4,3.0,2.0,636,29,1203312,4000,5,0.1,5,0.7,7,0.7,san-jose-ca
48,2224,https://www.zillow.com/homedetails/6632-Mount-Wellington-Dr-San-Jose-CA-95120/19835435_zpid/,1625000.0,San Jose,95120,Single Family,1969,Forced air,Central,0,731,4,2.0,2.0,731,34,1682790,4795,8,0.8,8,0.8,9,0.8,san-jose-ca
49,1203,https://www.zillow.com/homedetails/5844-Pentz-Way-San-Jose-CA-95123/19827625_zpid/,999000.0,San Jose,95123,Single Family,1966,Forced air,None,0,830,3,2.0,2.0,541,36,1067379,3400,4,0.3,6,1.6,6,0.9,san-jose-ca
50,2041,https://www.zillow.com/homedetails/237-Rayos-Del-Sol-Dr-San-Jose-CA-95116/79843095_zpid/,899000.0,San Jose,95116,Single Family,2006,"Forced air, Gas",Central,0,440,4,3.0,27.0,5091,281,938086,4000,3,0.5,3,1.4,6,1.6,san-jose-ca
51,1217,https://www.zillow.com/homedetails/5601-Makati-Cir-San-Jose-CA-95123/19829665_zpid/,698000.0,San Jose,95123,Townhouse,1985,Forced air,Central,0,574,2,2.0,3.0,832,67,726137,3050,4,0.3,6,1.7,6,0.8,san-jose-ca
52,1463,https://www.zillow.com/homedetails/3036-Remington-Ct-San-Jose-CA-95148/19793178_zpid/,999950.0,San Jose,95148,Single Family,1967,"Forced air, Electric",Central,0,683,4,2.0,2.0,1226,56,1063407,3600,8,0.3,7,0.3,9,0.7,san-jose-ca
53,1562,https://www.zillow.com/homedetails/483-Valroy-Ct-San-Jose-CA-95123/19823017_zpid/,1198000.0,San Jose,95123,Single Family,1971,"Forced air, Gas",Central,0,767,4,2.0,2.0,749,46,1234917,3700,6,0.4,6,1.6,9,0.8,san-jose-ca
54,2000,https://www.zillow.com/homedetails/2711-Nicasio-Ct-San-Jose-CA-95127/54771691_zpid/,965000.0,San Jose,95127,Single Family,2000,"Forced air, Gas",Central,0,483,4,3.0,8.0,3239,128,1006938,3790,3,0.3,4,0.4,4,0.6,san-jose-ca
55,1498,https://www.zillow.com/homedetails/1419-Luning-Dr-San-Jose-CA-95118/19758481_zpid/,1250000.0,San Jose,95118,Single Family,1962,"Forced air, Gas",Central,0,834,3,2.0,2.0,486,17,1332131,3600,4,0.4,5,0.6,8,0.7,san-jose-ca
56,1554,https://www.zillow.com/homedetails/1870-Orange-Grove-Dr-San-Jose-CA-95124/19690579_zpid/,1499000.0,San Jose,95124,Single Family,2006,Forced air,Central,0,965,3,2.0,2.0,518,28,1571485,4000,6,0.2,8,0.3,8,1.7,san-jose-ca
57,776,https://www.zillow.com/homedetails/1129-Cook-St-San-Jose-CA-95126/19558054_zpid/,799000.0,San Jose,95126,Single Family,1924,"Forced air, Gas",None,0,1030,2,1.0,2.0,1054,81,814490,3200,4,1.0,3,0.9,6,1.1,san-jose-ca
58,2532,https://www.zillow.com/homedetails/1132-Pheasant-Hill-Way-San-Jose-CA-95120/19768537_zpid/,1480000.0,San Jose,95120,Townhouse,1998,Forced air,Central,0,585,4,3.0,1.0,341,23,1410443,4351,9,0.6,8,0.9,9,1.2,san-jose-ca
59,1949,https://www.zillow.com/homedetails/30-E-Julian-St-UNIT-303-San-Jose-CA-95112/59683443_zpid/,1088000.0,San Jose,95112,Condo,2000,Forced air,Central,0,558,3,3.0,1.0,151,3,1132883,3800,3,0.5,3,0.9,3,1.5,san-jose-ca
60,1296,https://www.zillow.com/homedetails/1200-Weepinggate-Ln-San-Jose-CA-95136/19818084_zpid/,699000.0,San Jose,95136,Townhouse,1971,Forced air,Central,0,539,3,2.0,3.0,948,63,730000,2995,4,0.2,4,1.2,6,0.8,san-jose-ca
61,1514,https://www.zillow.com/homedetails/1576-Ballantree-Way-San-Jose-CA-95118/19758247_zpid/,1299000.0,San Jose,95118,Single Family,1963,Forced air,Central,0,858,3,2.0,1.0,355,19,1296946,3900,7,0.3,7,0.6,8,0.3,san-jose-ca
62,1657,https://www.zillow.com/homedetails/1218-Singletary-Ave-San-Jose-CA-95126/19575429_zpid/,1499000.0,San Jose,95126,Single Family,1920,Forced air,Central,0,905,3,2.0,2.0,623,60,1565970,3900,4,0.5,3,0.3,6,0.5,san-jose-ca
63,1185,https://www.zillow.com/homedetails/1198-Turtlerock-Dr-San-Jose-CA-95122/19715672_zpid/,818000.0,San Jose,95122,Single Family,1972,"Forced air, Gas",Central,0,690,4,2.0,1.0,594,40,818345,3500,6,0.1,3,0.4,6,0.5,san-jose-ca
64,1137,https://www.zillow.com/homedetails/349-Manila-Dr-San-Jose-CA-95119/19838095_zpid/,899900.0,San Jose,95119,Single Family,1970,"Forced air, Gas",None,0,791,3,2.0,6.0,2576,143,940253,3600,6,0.5,6,0.4,9,2.1,san-jose-ca
65,1404,https://www.zillow.com/homedetails/1258-Naglee-Ave-San-Jose-CA-95126/19575317_zpid/,1065000.0,San Jose,95126,Single Family,1925,None,None,0,759,3,2.0,3.0,1067,58,1125417,3500,4,0.4,3,0.2,6,0.4,san-jose-ca
66,1400,https://www.zillow.com/homedetails/169-Herlong-Ave-San-Jose-CA-95123/19827621_zpid/,899000.0,San Jose,95123,Single Family,1966,Forced air,Central,0,642,4,2.0,15.0,2721,70,994695,3600,4,0.4,6,1.6,6,0.9,san-jose-ca
67,1652,https://www.zillow.com/homedetails/2072-Mayfield-Ave-San-Jose-CA-95130/19660621_zpid/,1499888.0,San Jose,95130,Single Family,1960,"Forced air, Gas",Central,0,908,3,2.0,2.0,696,36,1571819,3995,4,0.4,6,1.6,6,0.9,san-jose-ca
68,1123,https://www.zillow.com/homedetails/4172-Santa-Susana-Way-San-Jose-CA-95111/19732767_zpid/,800000.0,San Jose,95111,Single Family,1959,Other,Central,0,712,3,2.0,2.0,726,14,755672,3450,2,0.5,3,0.4,5,0.8,san-jose-ca
69,849,https://www.zillow.com/homedetails/1260-Coyote-Creek-Pl-San-Jose-CA-95116/19570063_zpid/,535000.0,San Jose,95116,Condo,1984,"Forced air, Gas",Wall,0,630,2,2.0,2.0,686,21,536311,2550,3,0.2,3,1.8,3,0.2,san-jose-ca
70,1468,https://www.zillow.com/homedetails/6258-Lillian-Way-San-Jose-CA-95120/19834623_zpid/,1299000.0,San Jose,95120,Single Family,1962,"Forced air, Electric, Gas",None,0,885,3,2.0,2.0,720,35,1331474,3600,8,0.5,6,1.0,9,1.5,san-jose-ca
71,2124,https://www.zillow.com/homedetails/710-Hathaway-Ct-San-Jose-CA-95136/19708220_zpid/,1150000.0,San Jose,95136,Single Family,1976,Forced air,Central,0,541,4,3.0,5.0,1737,89,1205717,4000,5,0.5,5,1.6,4,0.2,san-jose-ca
72,1162,https://www.zillow.com/homedetails/1148-Brace-Ave-San-Jose-CA-95125/19680809_zpid/,1299000.0,San Jose,95125,Single Family,1913,"Forced air, Gas",Central,0,1118,2,2.0,2.0,384,15,1373266,3700,5,0.2,5,0.9,7,0.9,san-jose-ca
73,1828,https://www.zillow.com/homedetails/927-Chabrant-Way-San-Jose-CA-95125/19578630_zpid/,1649000.0,San Jose,95125,Single Family,1940,Forced air,Central,0,902,3,3.0,2.0,300,7,1716333,4000,5,0.5,5,1.3,7,1.3,san-jose-ca
74,800,https://www.zillow.com/homedetails/165-Blossom-Hill-Rd-SPACE-38-San-Jose-CA-95123/153522017_zpid/,209999.0,San Jose,95123,Mobile / Manufactured,1966,"Forced air, Gas",Central,0,0,2,1.0,1.0,93,3,230148,2955,4,0.6,4,0.8,6,0.9,san-jose-ca
75,1372,https://www.zillow.com/homedetails/109-Springhaven-Ct-San-Jose-CA-95111/19816543_zpid/,889000.0,San Jose,95111,Single Family,1976,"Forced air, Gas",Central,0,648,3,2.0,8.0,2945,164,926680,3500,5,0.6,4,0.5,6,1.1,san-jose-ca
76,1040,https://www.zillow.com/homedetails/961-Spencer-Ave-San-Jose-CA-95125/19578193_zpid/,1098000.0,San Jose,95125,Single Family,1948,Gas,None,0,1056,3,2.0,3.0,868,59,1077921,3600,5,0.9,5,1.6,7,1.6,san-jose-ca
77,778,https://www.zillow.com/homedetails/147-Cleveland-Ave-San-Jose-CA-95128/19582465_zpid/,769950.0,San Jose,95128,Single Family,1920,"Forced air, Gas",None,0,990,2,1.0,10.0,2912,135,784435,2800,4,0.3,6,1.4,7,1.6,san-jose-ca
78,889,https://www.zillow.com/homedetails/88-E-San-Fernando-St-UNIT-1610-San-Jose-CA-95113/89475421_zpid/,749888.0,San Jose,95113,Condo,2008,"Forced air, Electric",Central,0,844,1,1.0,1.0,131,6,682534,2700,3,0.3,3,2.2,6,2.3,san-jose-ca
79,1342,https://www.zillow.com/homedetails/2341-Mabury-Rd-San-Jose-CA-95133/19571158_zpid/,675000.0,San Jose,95133,Townhouse,1976,"Forced air, Gas",Central,0,503,3,2.0,3.0,850,58,704022,3395,7,1.1,5,1.4,6,0.4,san-jose-ca
80,798,https://www.zillow.com/homedetails/1160-Mastic-St-San-Jose-CA-95110/19683350_zpid/,699000.0,San Jose,95110,Single Family,1920,"None, Forced air",Central,0,876,2,1.0,2.0,674,18,724193,2760,4,0.3,5,2.1,7,2.0,san-jose-ca
81,2384,https://www.zillow.com/homedetails/5418-Century-Park-Way-San-Jose-CA-95111/19809228_zpid/,1095000.0,San Jose,95111,Single Family,1977,"Forced air, Gas",Central,0,459,4,3.0,3.0,1020,50,1122177,3995,6,1.6,6,2.2,6,1.5,san-jose-ca
82,1429,https://www.zillow.com/homedetails/1859-S-Capitol-Ave-San-Jose-CA-95127/19729002_zpid/,799000.0,San Jose,95127,Single Family,1983,"Forced air, Gas",Central,0,559,3,2.5,123.0,6687,157,799006,3495,3,0.6,4,0.1,5,0.7,san-jose-ca
83,1164,https://www.zillow.com/homedetails/148-Kenbrook-Cir-San-Jose-CA-95111/19737030_zpid/,620000.0,San Jose,95111,Condo,1987,Forced air,None,0,533,3,2.0,2.0,439,6,648040,3200,3,0.1,4,1.1,5,0.7,san-jose-ca
84,2296,https://www.zillow.com/homedetails/1791-Cherry-Grove-Dr-San-Jose-CA-95125/19593683_zpid/,1798850.0,San Jose,95125,Single Family,1957,"Forced air, Gas",Central,0,783,3,3.0,2.0,348,10,1914702,4300,3,0.5,4,1.9,6,1.0,san-jose-ca
85,1654,https://www.zillow.com/homedetails/2326-Bluebell-Ave-San-Jose-CA-95122/19730508_zpid/,969900.0,San Jose,95122,Single Family,1962,"Forced air, Gas",None,0,586,5,3.0,2.0,515,6,1024922,3500,2,0.5,4,1.2,3,0.5,san-jose-ca
86,1676,https://www.zillow.com/homedetails/5383-Gerine-Blossom-Dr-San-Jose-CA-95123/19825294_zpid/,989000.0,San Jose,95123,Single Family,1976,Forced air,Central,0,590,4,2.0,8.0,2278,98,1034192,3750,4,0.6,4,0.6,6,0.5,san-jose-ca
87,1260,https://www.zillow.com/homedetails/1146-S-7th-St-San-Jose-CA-95112/19714258_zpid/,699000.0,San Jose,95112,Single Family,1910,None,None,0,555,2,1.0,3.0,809,15,713799,3200,2,0.6,3,3.3,6,3.3,san-jose-ca
88,1012,https://www.zillow.com/homedetails/331-Kenbrook-Cir-San-Jose-CA-95111/19739172_zpid/,525000.0,San Jose,95111,Condo,1987,"Forced air, Gas",None,0,519,2,2.0,2.0,341,23,540000,2700,3,0.2,4,1.2,5,0.8,san-jose-ca
89,1938,https://www.zillow.com/homedetails/1115-S-Baywood-Ave-San-Jose-CA-95128/19587084_zpid/,1499000.0,San Jose,95128,Single Family,1966,"Forced air, Gas",None,0,773,4,3.0,3.0,918,54,1599466,4195,7,0.3,4,0.1,6,1.1,san-jose-ca
90,1080,https://www.zillow.com/homedetails/1572-Cross-Way-San-Jose-CA-95125/19684216_zpid/,825000.0,San Jose,95125,Single Family,1953,"Forced air, Electric",None,0,764,3,2.0,38.0,5428,175,850345,3500,2,0.3,5,1.4,7,1.3,san-jose-ca
91,1585,https://www.zillow.com/homedetails/1922-Jonathan-Ave-San-Jose-CA-95125/19686496_zpid/,1599000.0,San Jose,95125,Single Family,1948,"Forced air, Gas",Central,0,1009,3,2.0,5.0,1495,82,1531706,4000,8,1.4,5,0.8,7,0.8,san-jose-ca
92,2240,https://www.zillow.com/homedetails/6631-Bubblingwell-Pl-San-Jose-CA-95120/19835709_zpid/,1698000.0,San Jose,95120,Single Family,1969,Forced air,Central,0,758,4,3.0,30.0,8277,421,1755803,4350,9,0.9,8,0.5,9,0.3,san-jose-ca
93,1162,https://www.zillow.com/homedetails/940-Bellhurst-Ave-San-Jose-CA-95122/19715448_zpid/,549369.0,San Jose,95122,Townhouse,1971,Forced air,None,0,473,3,2.0,8.0,2058,65,566980,3000,3,0.3,3,0.6,9,0.3,san-jose-ca
94,960,https://www.zillow.com/homedetails/2925-Florence-Ave-APT-60-San-Jose-CA-95127/89474131_zpid/,399888.0,San Jose,95127,Townhouse,1964,"Wall, Gas",None,0,417,3,2.0,8.0,2192,73,411344,2800,5,0.3,4,1.1,4,0.3,san-jose-ca
95,1167,https://www.zillow.com/homedetails/997-Prevost-St-San-Jose-CA-95125/19578165_zpid/,1149000.0,San Jose,95125,Single Family,1929,"None, Forced air",Central,0,985,2,1.0,2.0,250,22,1149007,3400,5,0.8,3,2.3,6,2.2,san-jose-ca
96,11219,https://www.zillow.com/homedetails/Villa-12-Villas-At-La-Montana-San-Jose-Del-Cabo-CA-23406/2077702033_zpid/,10000000.0,Del Cabo,23406,Single Family,2018,Electric,Central,0,891,5,7.0,6.0,1532,53,1149007,3400,5,0.8,3,2.3,6,2.2,san-jose-ca
97,1268,https://www.zillow.com/homedetails/735-Creekfield-Dr-San-Jose-CA-95136/19700568_zpid/,999999.0,San Jose,95136,Single Family,1983,"Forced air, Electric",Central,0,789,3,2.0,3.0,705,43,1055651,3450,5,0.6,5,1.5,4,1.5,san-jose-ca
98,975,https://www.zillow.com/homedetails/2599-Easton-Ln-APT-107-San-Jose-CA-95133/19573154_zpid/,499800.0,San Jose,95133,Condo,1981,Forced air,None,0,513,2,2.0,3.0,639,32,519947,2600,5,0.4,4,1.3,4,1.5,san-jose-ca
99,1179,https://www.zillow.com/homedetails/797-Cypress-Ave-San-Jose-CA-95117/19605924_zpid/,1249000.0,San Jose,95117,Single Family,1958,Other,Central,0,1059,3,2.0,3.0,972,40,1348987,3700,5,0.1,4,1.0,6,2.0,san-jose-ca
