sqft,url,price,locality,postalCode,Type,Year built,Heating,Cooling,Parking,Price/sqft,beds,baths,timeOnZillow,views,saves,zestimate,rentalZestimate,ele_rating,ele_dist,mid_rating,mid_dist,high_rating,high_dist,original_city
"1,102",https://www.zillow.com/homedetails/1071-Ribisi-Cir-San-Jose-CA-95131/19566253_zpid/,"$699,000",San Jose,95131,Townhouse,1971,Forced air,Central,0,$634,3,2.0,2 days,667,57,"$727,030","$2,850/mo",8,0.2 mi,6,2 mi,6,0.9 mi,san-jose-ca
"2,353",https://www.zillow.com/homedetails/1187-Malone-Rd-San-Jose-CA-95125/19685464_zpid/,"$2,295,000",San Jose,95125,Single Family,2020,"None, Forced air",Central,0,$975,4,3.0,1 day,249,11,"$1,241,636","$3,100/mo",8,0.9 mi,5,0.3 mi,7,0.2 mi,san-jose-ca
"1,586",https://www.zillow.com/homedetails/3357-Mount-Vista-Dr-San-Jose-CA-95127/19786044_zpid/,"$888,000",San Jose,95127,Single Family,1960,"None, Forced air",Central,0,$560,4,3.0,1 day,705,37,"$577,769","$3,175/mo",4,0.2 mi,3,0.6 mi,5,0.6 mi,san-jose-ca
"1,746",https://www.zillow.com/homedetails/1967-Coastland-Ave-San-Jose-CA-95125/19686471_zpid/,"$1,450,000",San Jose,95125,Single Family,1949,"Forced air, Gas",Central,0,$830,3,3.0,1 day,498,33,"$1,449,715","$4,100/mo",8,1.5 mi,5,0.8 mi,7,0.8 mi,san-jose-ca
"1,346",https://www.zillow.com/homedetails/1544-Jacob-Ave-San-Jose-CA-95118/19697924_zpid/,"$1,098,888",San Jose,95118,Single Family,1963,"Forced air, Gas",Central,0,$816,3,2.0,2 days,994,57,"$1,171,090","$3,650/mo",7,0.1 mi,5,0.9 mi,8,1.3 mi,san-jose-ca
"2,302",https://www.zillow.com/homedetails/1136-Willow-Glen-Way-San-Jose-CA-95125/19681386_zpid/,"$1,899,000",San Jose,95125,Single Family,1940,"Forced air, Gas",Central,0,$825,4,3.0,2 days,"1,295",99,"$1,950,559","$4,500/mo",5,0.2 mi,5,0.6 mi,7,0.5 mi,san-jose-ca
"1,584",https://www.zillow.com/homedetails/2027-Lynwood-Ter-San-Jose-CA-95128/19583564_zpid/,"$1,398,000",San Jose,95128,Single Family,1951,"Forced air, Gas",None,0,$883,4,2.0,1 day,163,3,"$1,450,175","$3,900/mo",4,0.7 mi,3,0.8 mi,6,0.8 mi,san-jose-ca
"2,528",https://www.zillow.com/homedetails/4766-Bannock-Cir-San-Jose-CA-95130/19661326_zpid/,"$1,998,000",San Jose,95130,Single Family,1961,"Forced air, Gas",Central,0,$790,5,3.0,1 day,285,17,"$2,089,727","$5,000/mo",9,0.1 mi,8,0.6 mi,8,0.3 mi,san-jose-ca
"1,104",https://www.zillow.com/homedetails/4678-Smoke-River-Ct-San-Jose-CA-95136/19701873_zpid/,"$699,000",San Jose,95136,Townhouse,1973,Forced air,Central,0,$633,3,2.0,3 days,"1,199",76,"$728,958","$2,950/mo",3,0.6 mi,5,1.2 mi,4,0.6 mi,san-jose-ca
"1,217",https://www.zillow.com/homedetails/5601-Makati-Cir-San-Jose-CA-95123/19829665_zpid/,"$698,000",San Jose,95123,Townhouse,1985,Forced air,Central,0,$574,2,2.0,3 days,832,67,"$726,137","$3,050/mo",4,0.3 mi,6,1.7 mi,6,0.8 mi,san-jose-ca
"2,001",https://www.zillow.com/homedetails/1566-Lupton-Ave-San-Jose-CA-95125/19681633_zpid/,"$1,998,000",San Jose,95125,Single Family,2012,"Forced air, Gas",Central,0,$999,3,3.0,2 days,772,42,"$2,094,741","$5,200/mo",5,0.4 mi,5,0.6 mi,7,0.5 mi,san-jose-ca
776,https://www.zillow.com/homedetails/1129-Cook-St-San-Jose-CA-95126/19558054_zpid/,"$799,000",San Jose,95126,Single Family,1924,"Forced air, Gas",None,0,"$1,030",2,1.0,2 days,"1,054",81,"$814,490","$3,200/mo",4,1 mi,3,0.9 mi,6,1.1 mi,san-jose-ca
"1,296",https://www.zillow.com/homedetails/1200-Weepinggate-Ln-San-Jose-CA-95136/19818084_zpid/,"$699,000",San Jose,95136,Townhouse,1971,Forced air,No Data,0,$539,3,2.0,3 days,947,63,"$730,000","$2,995/mo",4,0.2 mi,4,1.2 mi,6,0.8 mi,san-jose-ca
"1,056",https://www.zillow.com/homedetails/199-N-11th-St-San-Jose-CA-95112/19710373_zpid/,"$1,038,000",San Jose,95112,Single Family,1906,"Forced air, Gas",Central,0,$983,3,2.0,2 days,333,12,"$1,052,418","$3,400/mo",3,0.3 mi,3,1.3 mi,3,0.8 mi,san-jose-ca
"1,037",https://www.zillow.com/homedetails/5651-Blossom-Ave-San-Jose-CA-95123/19818807_zpid/,"$825,000",San Jose,95123,Single Family,1963,"Forced air, Electric, Gas",None,0,$796,3,2.0,1 day,770,56,"$894,540","$3,450/mo",6,0.2 mi,8,0.6 mi,9,1.2 mi,san-jose-ca
"1,088",https://www.zillow.com/homedetails/1469-Hillsdale-Ave-San-Jose-CA-95118/19696158_zpid/,"$939,000",San Jose,95118,Single Family,1957,"Forced air, Gas",Central,0,$863,3,1.0,2 days,342,17,"$961,867","$3,500/mo",5,0.6 mi,5,1.1 mi,7,1.2 mi,san-jose-ca
"2,178",https://www.zillow.com/homedetails/285-William-Manly-St-San-Jose-CA-95136/166730716_zpid/,"$1,155,000",San Jose,95136,Single Family,2017,"Forced air, Gas",Central,0,$530,5,4.0,2 days,609,26,"$1,191,573","$4,150/mo",6,1.9 mi,5,1.5 mi,7,1.2 mi,san-jose-ca
"1,404",https://www.zillow.com/homedetails/1258-Naglee-Ave-San-Jose-CA-95126/19575317_zpid/,"$1,065,000",San Jose,95126,Single Family,1925,None,None,0,$759,3,2.0,3 days,"1,066",58,"$1,125,417","$3,500/mo",4,0.4 mi,3,0.2 mi,6,0.4 mi,san-jose-ca
"3,398",https://www.zillow.com/homedetails/951-Riverside-Dr-San-Jose-CA-95125/19578434_zpid/,"$2,795,000",San Jose,95125,Single Family,1928,"Forced air, Gas",Central,0,$823,4,4.0,3 days,868,43,"$2,746,698","$6,082/mo",5,0.8 mi,5,1.6 mi,7,1.5 mi,san-jose-ca
